127.0.0.1 - - [01/Oct/2021:09:05:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:19:51 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:20:32 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:20:32 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:21:24 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2568
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:21:24 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:22:18 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:22:19 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:22:39 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:22:39 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:22:39 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:22:57 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:24:27 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:24:27 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:25:03 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:25:03 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:27:34 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:27:35 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:29:32 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:29:32 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:29:55 +0900] "GET /studyhtml5/sample/NewFile4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:31:01 +0900] "GET /studyhtml5/sample/NewFile3.html HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:28 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:28 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:28 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:43 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:43 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:46 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:46 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 200 3050
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/visual_img.png HTTP/1.1" 200 238080
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/cont_img1.jpg HTTP/1.1" 200 132373
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/cont_img2.jpg HTTP/1.1" 200 81188
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/logo.gif HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/images/side_banner.jpg HTTP/1.1" 200 32435
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:34:56 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:36:17 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:45:01 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:45:01 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:45:01 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:45:36 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:45:36 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:45:36 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:48:06 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:48:06 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:48:06 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:48:21 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:48:21 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1216
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:48:21 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:49:19 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:49:19 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:49:19 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:57:32 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:57:32 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:57:32 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:57:33 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:57:34 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:57:34 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:58:18 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:58:18 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1258
0:0:0:0:0:0:0:1 - - [01/Oct/2021:09:58:18 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:00:39 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:00:39 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:00:39 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:01:26 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:01:26 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:01:26 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:02:17 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:02:17 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:02:17 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:10:24 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:10:24 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:10:24 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:11:00 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:11:00 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:11:00 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:09 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:09 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:09 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:25 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:25 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:25 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:37 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:37 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:37 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2033
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:15:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:16:19 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:16:19 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:16:19 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:16:20 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:16:20 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:16:20 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:07 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:07 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:07 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:18 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:18 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:18 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:27 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:27 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:27 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:51 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:51 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:17:51 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:18:00 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:18:00 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:18:00 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:18:52 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:18:52 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:18:52 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:19:17 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:19:17 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:19:17 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:19:39 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:19:39 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:19:39 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:13 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:13 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:13 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:45 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:46 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:46 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:21:46 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:22:23 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:22:23 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:22:23 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:23:31 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:23:31 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:23:31 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:36:02 +0900] "GET /studyhtml5/ch06/3.theFitness2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:36:02 +0900] "GET /studyhtml5/ch06/3.theFitness2/script/main.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [01/Oct/2021:10:36:02 +0900] "GET /studyhtml5/ch06/3.theFitness2/css/style.css?ver=1.1 HTTP/1.1" 304 -
